"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
679;6600;"IMBR";"Aesch bei Maur, Im Brünneli"
680;6599;"ZOLL";"Aesch bei Maur, Zollingerheim"
612;445;"BEBO";"Benglen, Bodenacher"
611;446;"BGER";"Benglen, Gerlisbrunnen"
613;6778;"BLAN";"Benglen, Langwis"
565;425;"DBAL";"Bergdietikon, Baltenschwil"
563;457;"BERL";"Bergdietikon, Bergli"
562;466;"BOLD";"Bergdietikon, Bernold"
566;729;"DUEN";"Bergdietikon, Dünni"
499;6855;"GAL2";"Bergdietikon, Garage 2 LIBU"
564;2085;"RIEW";"Bergdietikon, Rietwies"
561;2789;"VORB";"Bergdietikon, Vorbühl"
755;6740;"BERKES";"Berikon, Kesslernmatt"
758;6211;"BERKIR";"Berikon, Kirche"
757;6212;"BERKREI";"Berikon, Kreisschule"
760;6209;"BERMAT";"Berikon, Mattenhof"
759;6210;"BERSTA";"Berikon, Stalden"
756;6213;"BERWID";"Berikon-Widen, Bahnhof"
540;6779;"BBAU";"Binz bei Maur, Bautacher"
538;3467;"FMAT";"Binz bei Maur, Fridlimatt"
539;490;"BGAS";"Binz bei Maur, Gassacher"
610;6999;"TWÄR";"Binz bei Maur, Twäracher"
575;501;"BIRBAH";"Birmensdorf ZH, Bahnhof"
804;6976;"BIRBAS";"Birmensdorf ZH, Bahnhof Süd"
688;1770;"BIROBE";"Birmensdorf ZH, Obere Risi"
574;6744;"RIST";"Birmensdorf ZH, Ristet"
687;2570;"BIRWSL";"Birmensdorf ZH, Sternen/WSL"
689;2748;"BIRUNT";"Birmensdorf ZH, Untere Risi"
776;6249;"BREBAH";"Bremgarten AG, Bahnhof"
775;6717;"BREBIB";"Bremgarten AG, Bibenlos"
778;7115;"BKAS";"Bremgarten AG, Kaserne"
781;7118;"BMEY";"Bremgarten AG, Meyerhof"
777;6484;"BREOBE";"Bremgarten AG, Obertorplatz"
779;7116;"BSTO";"Bremgarten AG, Stockweier"
780;7117;"BWAG";"Bremgarten AG, Waage"
782;7119;"BWES";"Bremgarten AG, West"
569;657;"BDIE";"Dietikon, Bahnhof"
767;454;"BERF";"Dietikon, Bergfrieden"
217;502;"BIRM";"Dietikon, Birmensdorferstrasse"
571;725;"DOER";"Dietikon, Dörfli"
210;6038;"GALI";"Dietikon, Garage Limmatbus AG"
621;6693;"DGYR";"Dietikon, Gyrhalden"
582;1091;"HAGA";"Dietikon, Hagackerstrasse"
618;1265;"HATS";"Dietikon, Hätschen"
576;6894;"DHEI";"Dietikon, Heimstrasse"
